episode,seed,total_reward,steps,terminated,truncated,policy,timestamp
1,124,-287.7888079285017,106,True,False,random,2025-10-31 11:50:44
2,125,-350.4022292063095,100,True,False,random,2025-10-31 11:50:46
3,126,-181.67277581917799,71,True,False,random,2025-10-31 11:50:47
4,127,-137.20606407835015,95,True,False,random,2025-10-31 11:50:49
5,128,-193.01927064388644,87,True,False,random,2025-10-31 11:50:51
1,124,-259.97422532115786,127,True,False,random,2025-10-31 11:51:22
2,125,-39.74624990373077,92,True,False,random,2025-10-31 11:51:24
3,126,-114.69064004236503,63,True,False,random,2025-10-31 11:51:25
4,127,-222.06492630702803,81,True,False,random,2025-10-31 11:51:27
5,128,-79.88002017360151,78,True,False,random,2025-10-31 11:51:29
1,124,-234.56725613941853,141,True,False,random,2025-10-31 11:52:23
2,125,-106.6530685955615,102,True,False,random,2025-10-31 11:52:25
3,126,-96.60169978616838,67,True,False,random,2025-10-31 11:52:27
4,127,-151.53289541440105,91,True,False,random,2025-10-31 11:52:29
5,128,-79.36933627023495,92,True,False,random,2025-10-31 11:52:31
6,129,-134.96080192761013,64,True,False,random,2025-10-31 11:52:32
7,130,-68.48665769779987,78,True,False,random,2025-10-31 11:52:34
8,131,-261.92285535360134,100,True,False,random,2025-10-31 11:52:36
9,132,-84.9279642275629,70,True,False,random,2025-10-31 11:52:37
10,133,-20.522730891918854,63,True,False,random,2025-10-31 11:52:39
11,134,-119.78814188729683,91,True,False,random,2025-10-31 11:52:41
12,135,-97.50375372354844,77,True,False,random,2025-10-31 11:52:42
13,136,-295.14731576462805,99,True,False,random,2025-10-31 11:52:45
14,137,-126.8373011222472,63,True,False,random,2025-10-31 11:52:46
15,138,-86.12087087435144,75,True,False,random,2025-10-31 11:52:48
16,139,-210.7772257574953,65,True,False,random,2025-10-31 11:52:49
17,140,-523.7926998858586,95,True,False,random,2025-10-31 11:52:51
18,141,-197.397574230418,116,True,False,random,2025-10-31 11:52:53
19,142,-262.14174380674166,87,True,False,random,2025-10-31 11:52:55
20,143,-458.73111493357834,111,True,False,random,2025-10-31 11:52:58
1,124,-176.05416104103858,129,True,False,random,2025-10-31 11:55:29
2,125,-209.3297282151363,107,True,False,random,2025-10-31 11:55:32
3,126,-94.41652232266156,73,True,False,random,2025-10-31 11:55:33
1,124,-42.73505932482661,139,True,False,heuristic,2025-10-31 11:56:07
2,125,-105.63749460554973,88,True,False,heuristic,2025-10-31 11:56:09
3,126,-66.95847748255531,70,True,False,heuristic,2025-10-31 11:56:11
4,127,-10.799970632208925,120,True,False,heuristic,2025-10-31 11:56:13
5,128,0.3225407834127765,114,True,False,heuristic,2025-10-31 11:56:16
6,129,16.37391487589602,108,True,False,heuristic,2025-10-31 11:56:18
7,130,-33.23893783586033,105,True,False,heuristic,2025-10-31 11:56:20
8,131,-53.42906809033372,108,True,False,heuristic,2025-10-31 11:56:23
9,132,-46.21586183006416,73,True,False,heuristic,2025-10-31 11:56:24
10,133,-45.253427888098756,73,True,False,heuristic,2025-10-31 11:56:26
11,134,-27.139432291434986,118,True,False,heuristic,2025-10-31 11:56:28
12,135,-96.16521362647502,75,True,False,heuristic,2025-10-31 11:56:30
13,136,1.9264691757924055,129,True,False,heuristic,2025-10-31 11:56:33
14,137,-64.89288205853336,74,True,False,heuristic,2025-10-31 11:56:34
15,138,-55.067411826779576,66,True,False,heuristic,2025-10-31 11:56:36
16,139,-48.18201839670273,71,True,False,heuristic,2025-10-31 11:56:37
17,140,-70.4490011792049,72,True,False,heuristic,2025-10-31 11:56:39
18,141,-47.342354339809845,112,True,False,heuristic,2025-10-31 11:56:41
19,142,-83.05992489025795,80,True,False,heuristic,2025-10-31 11:56:43
20,143,13.88655877312435,139,True,False,heuristic,2025-10-31 11:56:46
1,124,-332.92389844953664,127,True,False,False,0.0,2025-10-31 11:58:47
2,125,-157.36213548972233,105,True,False,False,0.0,2025-10-31 11:58:49
3,126,-124.04633972401324,72,True,False,False,0.0,2025-10-31 11:58:51
4,127,-215.2953334748351,97,True,False,False,0.0,2025-10-31 11:58:53
5,128,-135.8983529939098,77,True,False,False,0.0,2025-10-31 11:58:55
6,129,-82.08341804619349,71,True,False,False,0.0,2025-10-31 11:58:56
7,130,-66.74368943798748,86,True,False,False,0.0,2025-10-31 11:58:58
8,131,-107.79075324037794,122,True,False,False,0.0,2025-10-31 11:59:01
9,132,-65.25690856040617,70,True,False,False,0.0,2025-10-31 11:59:02
