episode,seed,total_reward,steps,terminated,truncated,policy,timestamp
1,124,-42.73505932482661,139,True,False,heuristic,2025-11-16 00:01:55
2,125,-105.63749460554973,88,True,False,heuristic,2025-11-16 00:01:57
3,126,-66.95847748255531,70,True,False,heuristic,2025-11-16 00:01:59
4,127,-10.799970632208925,120,True,False,heuristic,2025-11-16 00:02:01
5,128,0.3225407834127765,114,True,False,heuristic,2025-11-16 00:02:04
6,129,16.37391487589602,108,True,False,heuristic,2025-11-16 00:02:06
7,130,-33.23893783586033,105,True,False,heuristic,2025-11-16 00:02:08
8,131,-53.42906809033372,108,True,False,heuristic,2025-11-16 00:02:11
9,132,-46.21586183006416,73,True,False,heuristic,2025-11-16 00:02:12
10,133,-45.253427888098756,73,True,False,heuristic,2025-11-16 00:02:14
11,134,-27.139432291434986,118,True,False,heuristic,2025-11-16 00:02:16
12,135,-96.16521362647502,75,True,False,heuristic,2025-11-16 00:02:18
13,136,1.9264691757924055,129,True,False,heuristic,2025-11-16 00:02:21
14,137,-64.89288205853336,74,True,False,heuristic,2025-11-16 00:02:22
15,138,-55.067411826779576,66,True,False,heuristic,2025-11-16 00:02:24
16,139,-48.18201839670273,71,True,False,heuristic,2025-11-16 00:02:25
17,140,-70.4490011792049,72,True,False,heuristic,2025-11-16 00:02:27
18,141,-47.342354339809845,112,True,False,heuristic,2025-11-16 00:02:29
19,142,-83.05992489025795,80,True,False,heuristic,2025-11-16 00:02:31
20,143,13.88655877312435,139,True,False,heuristic,2025-11-16 00:02:34
